"국가별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"국가별",인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%)
"미국령버진아일랜드",13.8,18.4,27.5,27.4,27.4,27.3,27.3,27.3,27.4,27.4,31.2,35.6,40.5,45.3,50.1,54.8,59.6,64.4,-,-,-,-
"우루과이",10.5,11.1,11.4,15.9,17.1,20.1,29.4,34.0,39.3,41.8,46.4,51.4,54.5,57.7,61.5,64.6,66.4,70.3,80.7,83.4,86.1,-
"베네수엘라",3.4,4.6,4.9,7.5,8.4,12.6,15.2,20.8,25.9,32.7,37.4,40.2,49.1,54.9,57.0,58.0,60.0,61.6,-,-,-,-
"알바니아",0.1,0.3,0.4,1.0,2.4,6.0,9.6,15.0,23.9,41.2,45.0,47.0,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.6,72.2,79.3
"안도라",10.5,-,11.3,13.5,26.8,37.6,48.9,70.9,70.0,78.5,81.0,81.0,82.7,84.4,86.1,87.9,89.7,91.6,-,-,-,-
"오스트리아",33.7,39.2,36.6,42.7,54.3,58.0,63.6,69.4,72.9,73.5,75.2,78.7,80.0,80.6,81.0,83.9,84.3,87.9,87.5,87.8,87.5,92.5
"벨라루스",1.9,4.3,9.0,-,-,-,16.2,19.7,23.0,27.4,31.8,39.6,46.9,54.2,59.0,62.2,71.1,74.4,79.1,82.8,85.1,86.9
"벨기에",29.4,31.3,46.3,50.0,53.9,55.8,59.7,64.4,66.0,70.0,75.0,81.6,80.7,82.2,85.0,85.1,86.5,87.7,88.6,90.3,91.5,92.8
"보스니아-헤르체고비나",1.1,1.2,2.6,4.0,15.5,21.3,25.1,27.9,34.7,37.7,42.8,43.9,45.1,48.5,49.9,52.6,60.3,64.9,70.1,69.9,73.2,75.7
"불가리아",5.4,7.6,9.1,12.0,18.1,20.0,27.1,33.6,39.7,45.0,46.2,48.0,51.9,53.1,55.5,56.7,59.8,63.4,64.8,67.9,70.2,75.3
"크로아티아",6.6,11.6,17.8,22.8,30.9,33.1,38.0,41.4,44.2,50.6,56.6,57.8,61.9,66.7,68.6,69.8,72.7,67.1,75.3,79.1,78.3,81.3
"체코",9.8,14.7,23.9,34.3,35.5,35.3,47.9,51.9,63.0,64.4,68.8,70.5,73.4,74.1,74.2,75.7,76.5,78.7,80.7,80.9,81.3,82.7
"덴마크",39.2,43.0,64.3,76.3,80.9,82.7,86.7,85.0,85.0,86.8,88.7,89.8,92.3,94.6,96.0,96.3,97.0,97.1,97.3,98.0,96.5,98.9
"에스토니아",28.6,31.5,41.5,45.3,53.2,61.5,63.5,66.2,70.6,72.5,74.1,76.5,78.4,80.0,84.2,88.4,87.2,88.1,89.4,90.2,89.1,91.0
"페로제도",32.9,43.2,53.3,58.9,66.5,67.9,69.4,76.0,75.6,75.2,75.2,80.7,85.3,90.0,93.3,94.2,95.1,97.6,-,-,-,-
"핀란드",37.2,43.1,62.4,69.2,72.4,74.5,79.7,80.8,83.7,82.5,86.9,88.7,89.9,91.5,86.5,86.4,87.7,87.5,88.9,89.6,92.2,92.8
"프랑스",14.3,26.3,30.2,36.1,39.2,42.9,46.9,66.1,70.7,71.6,77.3,77.8,81.4,81.9,83.8,78.0,79.3,80.5,82.0,83.3,84.8,86.1
"독일",30.2,31.7,48.8,55.9,64.7,68.7,72.2,75.2,78.0,79.0,82.0,81.3,82.3,84.2,86.2,87.6,84.2,84.4,87.0,88.1,89.8,91.4
"지브롤터",19.1,21.2,23.7,28.3,32.9,39.1,45.3,51.6,58.0,65.1,65.0,65.0,65.0,-,-,-,94.4,-,-,-,-,-
"그리스",9.1,10.9,14.7,17.8,21.4,24.0,32.3,35.9,38.2,42.4,44.4,51.6,55.1,59.9,63.2,66.8,69.1,69.9,72.2,75.7,78.1,78.5
"헝가리",7.0,14.5,16.7,21.6,27.7,39.0,47.1,53.3,61.0,62.0,65.0,68.0,70.6,72.6,75.7,72.8,79.3,76.8,76.1,80.4,84.8,88.6
"아이슬란드",44.5,49.4,79.1,83.1,83.9,87.0,89.5,90.6,91.0,93.0,93.4,94.8,96.2,96.5,98.2,98.2,98.2,98.3,99.0,99.5,99.0,99.7
"아일랜드",17.9,23.1,25.9,34.3,37.0,41.6,54.8,61.2,65.3,67.4,69.9,74.9,76.9,78.2,83.5,83.5,83.5,84.1,87.0,87.0,92.0,-
"이탈리아",23.1,27.2,28.0,29.0,33.2,35.0,38.0,40.8,44.5,48.8,53.7,54.4,55.8,58.5,55.6,58.1,61.3,63.1,74.4,67.9,70.5,74.9
"코소보",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83.9,89.4,-,-,-
"라트비아",6.3,7.2,21.9,27.0,38.6,46.0,53.6,59.2,63.4,66.8,68.4,69.7,73.1,75.2,75.8,79.2,79.8,80.1,83.6,86.1,88.9,91.2
"리히텐슈타인",36.5,45.1,59.5,58.8,64.0,63.4,64.2,65.1,70.0,75.0,80.0,85.0,89.4,93.8,95.2,96.6,98.1,99.5,-,-,-,-
"리투아니아",6.4,7.2,17.7,25.9,31.2,36.2,43.9,49.9,55.2,59.8,62.1,63.6,67.2,68.5,72.1,71.4,74.4,77.6,79.7,81.6,83.1,86.9
"룩셈부르크",22.9,36.2,39.8,54.6,65.9,70.0,72.5,78.9,82.2,87.3,90.6,90.0,91.9,93.8,94.7,96.4,98.1,97.4,97.1,97.1,98.8,98.8
"북마케도니아",2.5,3.5,17.3,19.1,24.4,26.5,28.6,36.3,46.0,51.8,51.9,56.7,57.4,65.2,68.1,70.4,72.2,74.5,79.2,81.4,81.4,-
"몰타",13.1,17.9,28.9,31.6,34.6,41.2,40.4,46.9,50.1,58.9,63.0,68.0,68.2,68.9,73.2,76.0,78.1,81.0,81.7,85.8,86.9,87.5
"몰도바",1.3,1.5,3.8,7.4,10.6,14.6,19.6,20.5,23.4,27.5,32.3,38.0,43.4,60.0,67.0,69.0,71.0,76.1,-,-,-,-
"모나코",42.2,46.6,48.0,49.5,52.5,55.5,61.5,64.4,67.3,70.1,75.0,80.3,87.0,90.7,92.4,93.4,95.2,97.1,-,-,-,-
"네덜란드",44.0,49.4,61.3,64.4,68.5,81.0,83.7,85.8,87.4,89.6,90.7,91.4,92.9,94.0,91.7,91.7,90.4,93.2,91.9,93.3,91.3,92.1
"노르웨이",52.0,64.0,72.8,78.1,77.7,82.0,82.6,86.9,90.6,92.1,93.4,93.5,94.6,95.1,96.3,96.8,97.3,96.4,96.5,98.0,97.0,99.0
"폴란드",7.3,9.9,21.2,24.9,32.5,38.8,44.6,48.6,53.1,59.0,62.3,61.9,62.3,62.8,66.6,68.0,73.3,76.0,77.5,80.4,83.2,85.4
"포르투갈",16.4,18.1,19.4,29.7,31.8,35.0,38.0,42.1,44.1,48.3,53.3,55.2,60.3,62.1,64.6,68.6,70.4,73.8,74.7,75.3,78.3,82.3
"루마니아",3.6,4.5,6.6,8.9,15.0,21.5,24.7,28.3,32.4,36.6,39.9,40.0,45.9,49.8,54.1,55.8,59.5,63.7,70.7,73.7,78.5,83.6
"러시아",2.0,2.9,4.1,8.3,12.9,15.2,18.0,24.7,32.0,42.6,49.0,58.0,66.0,68.0,70.5,70.1,73.1,76.0,80.9,82.6,85.0,88.2
"산마리노",48.8,50.3,50.8,50.0,50.6,50.3,50.2,50.4,54.5,54.2,-,49.6,-,-,-,-,-,60.2,-,-,-,-
"슬로바키아",9.4,12.5,40.1,43.0,52.9,55.2,56.1,61.8,66.1,70.0,75.7,74.4,76.7,77.9,80.0,77.6,80.5,81.6,80.4,82.9,89.9,88.9
"슬로베니아",15.1,30.2,27.8,31.9,40.8,46.8,54.0,56.7,58.0,64.0,70.0,67.3,68.3,72.7,71.6,73.1,75.5,78.9,79.7,83.1,86.6,89.0
"스페인",13.6,18.1,20.4,39.9,44.0,47.9,50.4,55.1,59.6,62.4,65.8,67.1,69.8,71.6,76.2,78.7,80.6,84.6,86.1,90.7,93.2,93.9
"스웨덴",45.7,51.8,70.6,79.1,83.9,84.8,87.8,82.0,90.0,91.0,90.0,92.8,93.2,94.8,92.5,90.6,89.7,93.0,89.2,94.5,94.5,88.3
"스위스",47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.2,85.2,86.3,87.4,87.5,89.1,89.7,91.8,93.1,94.2,95.6
"우크라이나",0.7,1.2,1.9,3.1,3.5,3.7,4.5,6.6,11.0,17.9,23.3,28.7,35.3,41.0,46.2,48.9,53.0,58.9,62.6,70.1,75.0,-
"영국",26.8,33.5,56.5,64.8,65.6,70.0,68.8,75.1,78.4,83.6,85.0,85.4,87.5,89.8,91.6,92.0,94.8,90.4,90.7,92.5,94.8,-
"몬테네그로",-,-,-,-,25.4,27.1,28.9,30.8,32.9,35.1,37.5,35.6,56.8,60.3,61.0,68.1,69.9,71.3,71.5,73.5,77.6,82.2
"세르비아",-,-,-,-,23.5,26.3,27.2,33.2,35.6,38.1,40.9,42.2,48.1,53.5,62.1,65.3,67.1,70.3,73.4,77.4,78.4,81.2
